iter	Passed	Remaining
331	2276	4580
332	2278	4563
333	2280	4547
334	2282	4530
335	2284	4514
336	2286	4498
337	2288	4482
338	2291	4467
339	2294	4453
340	2295	4436
341	2297	4421
342	2300	4406
343	2302	4390
344	2305	4376
345	2307	4361
346	2309	4346
347	2311	4330
348	2313	4315
349	2315	4300
350	2317	4285
351	2319	4270
352	2322	4256
353	2323	4240
354	2326	4226
355	2328	4212
356	2330	4197
357	2332	4183
358	2335	4169
359	2337	4155
360	2339	4141
361	2341	4126
362	2343	4112
363	2346	4099
364	2348	4085
365	2350	4071
366	2352	4058
367	2355	4044
368	2357	4031
369	2359	4017
370	2361	4003
371	2363	3990
372	2365	3976
373	2367	3963
374	2369	3949
375	2372	3936
376	2374	3923
377	2376	3911
378	2379	3898
379	2381	3885
380	2383	3872
381	2385	3860
382	2388	3847
383	2390	3835
384	2392	3822
385	2395	3809
386	2397	3797
387	2400	3786
388	2402	3774
389	2405	3762
390	2407	3750
391	2410	3738
392	2412	3726
393	2414	3714
394	2417	3702
395	2420	3691
396	2422	3679
397	2424	3667
398	2426	3655
399	2428	3642
400	2430	3631
401	2433	3619
402	2434	3607
403	2437	3595
404	2439	3584
405	2441	3572
406	2443	3560
407	2445	3548
408	2448	3538
409	2450	3526
410	2453	3515
411	2455	3504
412	2457	3492
413	2459	3481
414	2462	3470
415	2464	3459
416	2467	3449
417	2469	3437
418	2471	3426
419	2473	3416
420	2476	3405
421	2478	3394
422	2480	3383
423	2482	3372
424	2484	3361
425	2486	3349
426	2488	3339
427	2490	3328
428	2492	3317
429	2494	3307
430	2497	3296
431	2499	3286
432	2501	3275
433	2503	3265
434	2505	3254
435	2507	3244
436	2509	3233
437	2512	3224
438	2515	3214
439	2518	3205
440	2520	3195
441	2522	3185
442	2525	3175
443	2527	3165
444	2530	3155
445	2533	3146
446	2536	3138
447	2539	3129
448	2542	3119
449	2544	3109
450	2546	3099
451	2548	3089
452	2551	3080
453	2553	3071
454	2555	3061
455	2557	3051
456	2560	3042
457	2563	3033
458	2564	3023
459	2567	3014
460	2571	3006
461	2575	2998
462	2578	2991
463	2581	2982
464	2584	2973
465	2588	2966
466	2591	2957
467	2594	2949
468	2598	2942
469	2601	2933
470	2604	2925
471	2608	2917
472	2612	2910
473	2615	2901
474	2617	2892
475	2619	2884
476	2623	2876
477	2626	2868
478	2630	2860
479	2632	2852
480	2635	2843
481	2637	2834
482	2642	2828
483	2645	2820
484	2648	2812
485	2651	2804
486	2655	2796
487	2657	2788
488	2660	2780
489	2662	2771
490	2665	2762
491	2667	2753
492	2669	2745
493	2672	2736
494	2674	2728
495	2676	2719
496	2679	2711
497	2681	2703
498	2684	2694
499	2686	2686
500	2689	2678
501	2692	2670
502	2695	2662
503	2698	2655
504	2700	2647
505	2703	2639
506	2706	2631
507	2709	2624
508	2711	2615
509	2713	2607
510	2715	2598
511	2717	2590
512	2720	2582
513	2721	2573
514	2723	2565
515	2726	2557
516	2728	2549
517	2731	2541
518	2734	2533
519	2740	2529
520	2747	2525
521	2753	2521
522	2758	2516
523	2763	2510
524	2769	2505
525	2773	2499
526	2780	2495
527	2785	2490
528	2791	2485
529	2795	2479
530	2800	2473
531	2805	2467
532	2810	2462
533	2814	2455
534	2817	2448
535	2821	2442
536	2824	2435
537	2829	2430
538	2832	2422
539	2836	2416
540	2840	2409
541	2843	2402
542	2845	2394
543	2849	2388
544	2853	2382
545	2856	2374
546	2859	2367
547	2863	2361
548	2865	2354
549	2869	2347
550	2872	2340
551	2875	2333
552	2877	2326
553	2880	2319
554	2883	2311
555	2885	2304
556	2888	2297
557	2891	2290
558	2894	2283
559	2897	2276
560	2900	2269
561	2903	2262
562	2905	2255
563	2907	2248
564	2910	2240
565	2912	2233
566	2914	2225
567	2917	2218
568	2920	2212
569	2922	2204
570	2925	2198
571	2928	2191
572	2931	2184
573	2933	2176
574	2935	2169
575	2938	2162
576	2940	2155
577	2942	2148
578	2944	2140
579	2946	2133
580	2949	2127
581	2952	2120
582	2955	2113
583	2958	2107
584	2961	2101
585	2964	2094
586	2967	2088
587	2971	2081
588	2974	2075
589	2976	2068
590	2979	2061
591	2981	2054
592	2985	2048
593	2987	2041
594	2989	2034
595	2991	2027
596	2994	2021
597	2997	2015
598	3000	2008
599	3002	2001
600	3004	1994
601	3007	1988
602	3010	1981
603	3012	1975
604	3015	1968
605	3018	1962
606	3020	1955
607	3023	1949
608	3026	1943
609	3030	1937
610	3032	1930
611	3035	1924
612	3037	1917
613	3039	1910
614	3041	1904
615	3043	1897
616	3045	1890
617	3048	1884
618	3050	1877
619	3054	1871
620	3057	1865
621	3059	1859
622	3062	1853
623	3065	1846
624	3067	1840
625	3070	1834
626	3073	1828
627	3075	1822
628	3078	1815
629	3081	1809
630	3084	1803
631	3086	1797
632	3089	1791
633	3092	1785
634	3095	1779
635	3099	1773
636	3102	1767
637	3105	1762
638	3107	1755
639	3109	1749
640	3111	1742
641	3114	1736
642	3116	1730
643	3119	1724
644	3122	1718
645	3125	1712
646	3127	1706
647	3130	1700
648	3133	1694
649	3136	1688
650	3138	1682
651	3142	1677
652	3146	1672
653	3150	1666
654	3154	1661
655	3158	1656
656	3161	1650
657	3166	1645
658	3170	1640
659	3173	1634
660	3177	1629
661	3181	1624
662	3184	1618
663	3186	1612
664	3190	1607
665	3194	1601
666	3196	1596
667	3199	1590
668	3202	1584
669	3205	1578
670	3209	1573
671	3212	1567
672	3214	1562
673	3218	1556
674	3221	1550
675	3225	1545
676	3227	1539
677	3229	1533
678	3232	1527
679	3234	1522
680	3236	1516
681	3239	1510
682	3242	1504
683	3244	1499
684	3247	1493
685	3249	1487
686	3252	1481
687	3254	1476
688	3257	1470
689	3260	1464
690	3262	1459
691	3266	1453
692	3269	1448
693	3271	1442
694	3274	1436
695	3276	1431
696	3278	1425
697	3281	1419
698	3284	1414
699	3285	1408
700	3288	1402
701	3290	1396
702	3292	1391
703	3295	1385
704	3298	1380
705	3300	1374
706	3302	1368
707	3305	1363
708	3308	1358
709	3312	1352
710	3314	1347
711	3317	1341
712	3320	1336
713	3323	1331
714	3326	1326
715	3330	1320
716	3331	1315
717	3334	1309
718	3337	1304
719	3339	1298
720	3342	1293
721	3345	1288
722	3348	1282
723	3351	1277
724	3353	1272
725	3357	1267
726	3360	1262
727	3364	1257
728	3367	1251
729	3369	1246
730	3373	1241
731	3376	1236
732	3379	1231
733	3382	1225
734	3384	1220
735	3386	1214
736	3389	1209
737	3391	1204
738	3394	1198
739	3396	1193
740	3398	1188
741	3401	1182
742	3404	1177
743	3407	1172
744	3410	1167
745	3412	1162
746	3415	1156
747	3418	1151
748	3420	1146
749	3423	1141
750	3426	1136
751	3429	1130
752	3433	1126
753	3436	1121
754	3440	1116
755	3443	1111
756	3447	1106
757	3450	1101
758	3454	1096
759	3459	1092
760	3463	1087
761	3467	1083
762	3471	1078
763	3474	1073
764	3479	1068
765	3482	1063
766	3487	1059
767	3491	1054
768	3496	1050
769	3499	1045
770	3502	1040
771	3505	1035
772	3508	1030
773	3511	1025
774	3516	1020
775	3522	1016
776	3525	1011
777	3528	1006
778	3531	1001
779	3534	997
780	3538	992
781	3541	987
782	3544	982
783	3548	977
784	3552	973
785	3555	968
786	3559	963
787	3562	958
788	3567	954
789	3570	949
790	3573	944
791	3576	939
792	3578	934
793	3584	929
794	3589	925
795	3593	921
796	3597	916
797	3602	911
798	3605	906
799	3608	902
800	3611	897
801	3614	892
802	3617	887
803	3620	882
804	3622	877
805	3624	872
806	3627	867
807	3631	862
808	3634	857
809	3636	852
810	3638	847
811	3641	843
812	3643	838
813	3646	833
814	3649	828
815	3652	823
816	3656	818
817	3658	814
818	3661	809
819	3664	804
820	3670	800
821	3675	795
822	3680	791
823	3684	787
824	3688	782
825	3691	777
826	3694	772
827	3697	768
828	3700	763
829	3704	758
830	3708	754
831	3712	749
832	3716	745
833	3719	740
834	3723	735
835	3726	731
836	3729	726
837	3732	721
838	3735	716
839	3739	712
840	3742	707
841	3744	702
842	3746	697
843	3748	692
844	3750	687
845	3752	683
846	3755	678
847	3757	673
848	3760	668
849	3763	664
850	3765	659
851	3767	654
852	3769	649
853	3771	644
854	3773	640
855	3776	635
856	3778	630
857	3781	625
858	3784	621
859	3787	616
860	3790	611
861	3792	607
862	3795	602
863	3798	597
864	3801	593
865	3804	588
866	3809	584
867	3812	579
868	3816	575
869	3819	570
870	3822	566
871	3824	561
872	3827	556
873	3830	552
874	3834	547
875	3837	543
876	3840	538
877	3843	534
878	3846	529
879	3848	524
880	3852	520
881	3855	515
882	3857	511
883	3860	506
884	3864	502
885	3866	497
886	3869	492
887	3871	488
888	3873	483
889	3875	479
890	3878	474
891	3880	469
892	3882	465
893	3886	460
894	3889	456
895	3891	451
896	3894	447
897	3897	442
898	3900	438
899	3903	433
900	3906	429
901	3908	424
902	3911	420
903	3914	415
904	3920	411
905	3922	406
906	3925	402
907	3929	398
908	3931	393
909	3935	389
910	3937	384
911	3941	380
912	3943	375
913	3947	371
914	3950	366
915	3953	362
916	3956	358
917	3960	353
918	3962	349
919	3965	344
920	3968	340
921	3970	335
922	3973	331
923	3976	327
924	3978	322
925	3982	318
926	3984	313
927	3987	309
928	3989	304
929	3992	300
930	3996	296
931	3999	291
932	4002	287
933	4005	283
934	4009	278
935	4011	274
936	4015	269
937	4018	265
938	4021	261
939	4024	256
940	4026	252
941	4030	248
942	4032	243
943	4036	239
944	4039	235
945	4042	230
946	4044	226
947	4048	222
948	4051	217
949	4054	213
950	4057	209
951	4060	204
952	4064	200
953	4066	196
954	4069	191
955	4072	187
956	4075	183
957	4079	178
958	4082	174
959	4085	170
960	4088	165
961	4091	161
962	4095	157
963	4097	153
964	4100	148
965	4104	144
966	4107	140
967	4111	135
968	4114	131
969	4117	127
970	4120	123
971	4123	118
972	4127	114
973	4131	110
974	4136	106
975	4139	101
976	4143	97
977	4149	93
978	4153	89
979	4159	84
980	4164	80
981	4169	76
982	4173	72
983	4176	67
984	4179	63
985	4182	59
986	4186	55
987	4190	50
988	4193	46
989	4198	42
990	4201	38
991	4205	33
992	4210	29
993	4213	25
994	4216	21
995	4222	16
996	4225	12
997	4228	8
998	4233	4
999	4237	0
