iter	MultiClass
152	1.460744168
153	1.459660882
154	1.457865131
155	1.456389159
156	1.455185859
157	1.454167305
158	1.452682483
159	1.451569009
160	1.450038303
161	1.448683996
162	1.447283407
163	1.445736402
164	1.444215563
165	1.442872281
166	1.441576291
167	1.440245302
168	1.438581917
169	1.437179483
170	1.435290616
171	1.43365113
172	1.431951023
173	1.430583981
174	1.428577689
175	1.427499622
176	1.425737157
177	1.424217585
178	1.423057968
179	1.421705568
180	1.420803215
181	1.419430384
182	1.418180292
183	1.417040549
184	1.416009946
185	1.41456337
186	1.41311205
187	1.411753531
188	1.410412547
189	1.408778917
190	1.407631007
191	1.406256037
192	1.404716022
193	1.403659216
194	1.402265029
195	1.400721316
196	1.399532371
197	1.398337967
198	1.397202596
199	1.395955059
200	1.394697493
201	1.393684401
202	1.392521397
203	1.391110264
204	1.38980514
205	1.388656025
206	1.387585313
207	1.386586436
208	1.385526253
209	1.384159542
210	1.382673752
211	1.381501332
212	1.380157745
213	1.378806187
214	1.377801417
215	1.376718644
216	1.375586722
217	1.373916141
218	1.372731712
219	1.371278356
220	1.370122045
221	1.369240308
222	1.368246548
223	1.367138787
224	1.36620679
225	1.364643796
226	1.363072841
227	1.361672
228	1.360637429
229	1.359366516
230	1.358074668
231	1.35700631
232	1.356028281
233	1.354860648
234	1.353823885
235	1.352265391
236	1.35116283
237	1.350041613
238	1.348818913
239	1.347764401
240	1.346614259
241	1.345552004
242	1.344277162
243	1.343169631
244	1.342155668
245	1.340991906
246	1.339843056
247	1.338868438
248	1.33795058
249	1.33693376
250	1.336115382
251	1.335239903
252	1.334102781
253	1.332948097
254	1.332070295
255	1.331183219
256	1.329866911
257	1.328658717
258	1.327742632
259	1.326367829
260	1.325511624
261	1.324673334
262	1.323773368
263	1.322872489
264	1.321411915
265	1.320377332
266	1.319189464
267	1.318101911
268	1.31720543
269	1.315956485
270	1.314970523
271	1.313982849
272	1.312793414
273	1.311821599
274	1.310700593
275	1.309698884
276	1.308913657
277	1.307945552
278	1.306776636
279	1.305842983
280	1.304804174
281	1.303722161
282	1.302554171
283	1.301435045
284	1.300299022
285	1.299437067
286	1.298704444
287	1.297518876
288	1.296398106
289	1.295316356
290	1.294390527
291	1.293491802
292	1.292636076
293	1.29160994
294	1.290811449
295	1.289903862
296	1.288793619
297	1.287624578
298	1.286789855
299	1.28553693
300	1.284842463
301	1.28396452
302	1.28318368
303	1.282402776
304	1.281512807
305	1.280560668
306	1.279517529
307	1.278451664
308	1.277603148
309	1.27657785
310	1.275770419
311	1.274892778
312	1.273925026
313	1.273020101
314	1.272227498
315	1.271197098
316	1.270298317
317	1.269451935
318	1.268663939
319	1.267761119
320	1.266663721
321	1.265812991
322	1.26491366
323	1.263857236
324	1.262937951
325	1.262111024
326	1.261114188
327	1.260264561
328	1.259238558
329	1.258194438
330	1.257356838
331	1.256153617
332	1.255357622
333	1.254339761
334	1.253273779
335	1.252591424
336	1.251693943
337	1.250818823
338	1.250232527
339	1.249473884
340	1.248479173
341	1.247523835
342	1.246708699
343	1.245695786
344	1.245067352
345	1.24416891
346	1.243409181
347	1.242673235
348	1.241714754
349	1.241005251
350	1.240054951
351	1.239127032
352	1.238318231
353	1.237605045
354	1.236762313
355	1.235949894
356	1.235320356
357	1.234398668
358	1.233609563
359	1.232881509
360	1.232083364
361	1.231090649
362	1.230305304
363	1.229504289
364	1.228569154
365	1.227715565
366	1.226929343
367	1.225789278
368	1.225017661
369	1.224091045
370	1.223374727
371	1.222607137
372	1.221750413
373	1.220941112
374	1.220347589
375	1.219520839
376	1.218504459
377	1.217776716
378	1.217252203
379	1.216591975
380	1.21573691
381	1.214860764
382	1.213912081
383	1.213075909
384	1.212408021
385	1.211651606
386	1.210957491
387	1.210033539
388	1.209071283
389	1.208036142
390	1.207232271
391	1.206487514
392	1.205615763
393	1.204911271
394	1.204097865
395	1.203363504
396	1.202575447
397	1.201731141
398	1.200897007
399	1.199951637
400	1.199203729
401	1.198232845
402	1.197420138
403	1.196630087
404	1.19602083
405	1.195347366
406	1.194442737
407	1.193661614
408	1.192850246
409	1.192044102
410	1.191303358
411	1.190323433
412	1.189621
413	1.188829416
414	1.1882233
415	1.187530604
416	1.186593039
417	1.185884798
418	1.185135817
419	1.184472218
420	1.183528066
421	1.182922581
422	1.1821032
423	1.181464528
424	1.180618052
425	1.179925961
426	1.179244697
427	1.17864296
428	1.177864224
429	1.177067911
430	1.17628186
431	1.175589141
432	1.174881295
433	1.174067463
434	1.173357148
435	1.172708842
436	1.172065232
437	1.171209299
438	1.170281326
439	1.169536719
440	1.168974752
441	1.168311141
442	1.167515945
443	1.166733299
444	1.165896686
445	1.165295288
446	1.164731443
447	1.163907953
448	1.163197052
449	1.162604724
450	1.161720004
451	1.161107922
452	1.160541768
453	1.159799043
454	1.159044713
455	1.158314585
456	1.15748151
457	1.156918408
458	1.156303637
459	1.155705215
460	1.154960925
461	1.154497186
462	1.153684406
463	1.152948603
464	1.152247547
465	1.151571356
466	1.150989898
467	1.1501873
468	1.149577102
469	1.148720704
470	1.147974571
471	1.147376026
472	1.146847929
473	1.146143307
474	1.145557138
475	1.144939938
476	1.144227614
477	1.143606319
478	1.14298556
479	1.142396096
480	1.141806607
481	1.141093659
482	1.140447312
483	1.139621122
484	1.138984991
485	1.138176958
486	1.137542623
487	1.13693438
488	1.136334251
489	1.135816001
490	1.135106199
491	1.134385934
492	1.133794226
493	1.132983586
494	1.132249885
495	1.13176729
496	1.131109436
497	1.130424452
498	1.129689046
499	1.128962486
500	1.128340304
501	1.127521017
502	1.126942774
503	1.126242124
504	1.125590823
505	1.124968929
506	1.124359061
507	1.123612446
508	1.12297798
509	1.122482904
510	1.121700706
511	1.121088522
512	1.120543127
513	1.119955158
514	1.119250027
515	1.118503085
516	1.11795877
517	1.117224466
518	1.116541007
519	1.115863842
520	1.115214706
521	1.114519808
522	1.113846032
523	1.113154232
524	1.112556084
525	1.111915903
526	1.111273867
527	1.110491608
528	1.109661265
529	1.108974832
530	1.108451244
531	1.107778485
532	1.106971023
533	1.106418231
534	1.105756935
535	1.105165269
536	1.104613012
537	1.103963657
538	1.103319491
539	1.102852872
540	1.102313594
541	1.10170208
542	1.101112179
543	1.100576921
544	1.099739013
545	1.09909304
546	1.098506735
547	1.098002387
548	1.097313191
549	1.096793101
550	1.096238858
551	1.095624246
552	1.095100811
553	1.094559232
554	1.093906406
555	1.093261242
556	1.09257976
557	1.091865792
558	1.091255127
559	1.09060744
560	1.090063239
561	1.08950923
562	1.088953335
563	1.088408442
564	1.087840492
565	1.087138647
566	1.08641891
567	1.085866372
568	1.085281013
569	1.084801731
570	1.084332515
571	1.083689814
572	1.083171441
573	1.082577097
574	1.082001243
575	1.081473923
576	1.080751962
577	1.080120916
578	1.079336749
579	1.078729011
580	1.078191295
581	1.077568043
582	1.07702964
583	1.076457656
584	1.075858972
585	1.075431276
586	1.074902369
587	1.074310743
588	1.073814309
589	1.073257487
590	1.072691287
591	1.072258837
592	1.07163759
593	1.071072908
594	1.070582409
595	1.070083198
596	1.069544051
597	1.068812423
598	1.068320671
599	1.067823257
600	1.067348318
601	1.066738261
602	1.066176475
603	1.065564209
604	1.065143706
605	1.064651836
606	1.064121457
607	1.063626831
608	1.063060809
609	1.062488562
610	1.061937952
611	1.061415373
612	1.060776764
613	1.060226282
614	1.059685681
615	1.059162761
616	1.05866444
617	1.058085677
618	1.057411585
619	1.056896059
620	1.056295784
621	1.055670555
622	1.055091553
623	1.054655764
624	1.054063344
625	1.053577176
626	1.053004713
627	1.052293488
628	1.051726712
629	1.051288541
630	1.050771751
631	1.050239138
632	1.049671767
633	1.049158197
634	1.048679223
635	1.048100254
636	1.047632859
637	1.047176795
638	1.046641548
639	1.046147694
640	1.045501738
641	1.044961948
642	1.044381988
643	1.04381555
644	1.043405089
645	1.042991871
646	1.042562033
647	1.041997906
648	1.04143759
649	1.040960134
650	1.040461283
651	1.03993923
652	1.039430815
653	1.038887061
654	1.038240042
655	1.03769069
656	1.037077702
657	1.036338959
658	1.035777002
659	1.035218823
660	1.034644719
661	1.033954958
662	1.03348405
663	1.032938929
664	1.032477092
665	1.031879748
666	1.031351208
667	1.030865778
668	1.030431183
669	1.02989246
670	1.029376712
671	1.028926804
672	1.028283965
673	1.027802941
674	1.027347338
675	1.026756955
676	1.026262163
677	1.025892914
678	1.025416852
679	1.024935573
680	1.024457537
681	1.02395124
682	1.023283625
683	1.022879554
684	1.022474627
685	1.02188149
686	1.021340238
687	1.020907059
688	1.020299607
689	1.019739926
690	1.019189025
691	1.018754741
692	1.018307806
693	1.017743375
694	1.017255368
695	1.016668328
696	1.016229261
697	1.015709692
698	1.015187674
699	1.014721824
700	1.014326425
701	1.013920124
702	1.013429092
703	1.012794016
704	1.012225811
705	1.01177281
706	1.011318294
707	1.010782719
708	1.010358206
709	1.010010563
710	1.009471924
711	1.009056653
712	1.008652473
713	1.008230156
714	1.007765156
715	1.007286972
716	1.006846943
717	1.006459821
718	1.005892126
719	1.005368043
720	1.004895201
721	1.004414124
722	1.003926942
723	1.003407528
724	1.002939656
725	1.002203932
726	1.001630455
727	1.001142134
728	1.000699108
729	1.000180152
730	0.9995814616
731	0.9990880155
732	0.9985394267
733	0.998100994
734	0.9976361433
735	0.9971080486
736	0.9965727011
737	0.9961457131
738	0.9956629706
739	0.9951757835
740	0.9947521644
741	0.994087252
742	0.993731913
743	0.9932374348
744	0.9927600002
745	0.9923432295
746	0.9918988605
747	0.9914517816
748	0.9910446223
749	0.9905366649
750	0.9900980661
751	0.9895897871
752	0.9890162742
753	0.9885449123
754	0.988117469
755	0.9876301131
756	0.9871290548
757	0.9866932613
758	0.9861947429
759	0.9857713975
760	0.9853076003
761	0.9847820427
762	0.9843741876
763	0.9838463769
764	0.9835085164
765	0.982918322
766	0.9825552876
767	0.9820506106
768	0.9815860009
769	0.981063248
770	0.9805868618
771	0.9801596687
772	0.9797865089
773	0.979284348
774	0.9789060501
775	0.9784516455
776	0.9781308284
777	0.9775974074
778	0.9771154131
779	0.9766478401
780	0.9762355196
781	0.9757205125
782	0.9751508435
783	0.974675951
784	0.9740753457
785	0.9736309604
786	0.9732389955
787	0.9727901039
788	0.9723740099
789	0.9719186984
790	0.9714119449
791	0.9709506291
792	0.970381518
793	0.9699500644
794	0.9696074515
795	0.9692201198
796	0.968716459
797	0.9682323489
798	0.9678441331
799	0.9674190213
800	0.9670194997
801	0.9665679428
802	0.9661283369
803	0.9657324187
804	0.9652488557
805	0.9647527479
806	0.9642049746
807	0.9637656329
808	0.9633613324
809	0.9629013084
810	0.9625383952
811	0.9621251652
812	0.9617550925
813	0.9613595611
814	0.9608658542
815	0.9604177759
816	0.9599743965
817	0.959553343
818	0.9591222256
819	0.9586784345
820	0.9582583338
821	0.9579155387
822	0.9574491324
823	0.9570916531
824	0.9566895253
825	0.9561883909
826	0.9557435579
827	0.9553504075
828	0.9549369968
829	0.9545680827
830	0.9542096836
831	0.9538021685
832	0.9533732361
833	0.9528511596
834	0.9524795381
835	0.9520131195
836	0.9516103467
837	0.9511436817
838	0.9507042529
839	0.9502585874
840	0.949797626
841	0.9493854953
842	0.9488149433
843	0.9483753634
844	0.9480449932
845	0.9476458423
846	0.9472100445
847	0.9468695396
848	0.9464812717
849	0.9461145251
850	0.945704173
851	0.9452992219
852	0.9448208401
853	0.9443642136
854	0.9439955075
855	0.9436154156
856	0.9432103253
857	0.9428468953
858	0.9425066048
859	0.9421022384
860	0.9416558592
861	0.9412052058
862	0.9406959754
863	0.9402991248
864	0.9398426911
865	0.9394366539
866	0.9389793464
867	0.9386581894
868	0.938266001
869	0.9378523525
870	0.937479958
871	0.9370473924
872	0.9366615327
873	0.9361528382
874	0.9355747117
875	0.9352005497
876	0.9347981646
877	0.9344181932
878	0.9339813914
879	0.9336652393
880	0.9332303497
881	0.9329039815
882	0.932409357
883	0.9320479448
884	0.9316185589
885	0.9312127865
886	0.9308738127
887	0.9305425186
888	0.9301254882
889	0.9296999848
890	0.9293381699
891	0.9289893109
892	0.9286084258
893	0.9282877947
894	0.9278404199
895	0.9274841311
896	0.927081502
897	0.9266817035
898	0.9262861431
899	0.9258516998
900	0.9253763547
901	0.9248094738
902	0.9244107851
903	0.9240714938
904	0.9236854898
905	0.9232256472
906	0.9229298537
907	0.9225304869
908	0.9220822071
909	0.9216586975
910	0.9212302027
911	0.920887089
912	0.9205225294
913	0.9201528673
914	0.9197900055
915	0.9194332083
916	0.9190731202
917	0.91857154
918	0.9182379671
919	0.9178973661
920	0.9175380973
921	0.9171658619
922	0.9168082623
923	0.9163913179
924	0.9160562189
925	0.915755091
926	0.9154633904
927	0.9151250283
928	0.9148069575
929	0.9144204947
930	0.914044699
931	0.9136038314
932	0.9133247197
933	0.912932434
934	0.912483401
935	0.9121150634
936	0.9117140317
937	0.9112950671
938	0.9109755704
939	0.910587553
940	0.9102739281
941	0.909860421
942	0.909580294
943	0.9091362281
944	0.9086600961
945	0.9083277433
946	0.9079413263
947	0.9076254768
948	0.907310129
949	0.9069882029
950	0.9066167403
951	0.90630499
952	0.9059200651
953	0.9055531127
954	0.905265263
955	0.9049634275
956	0.9045520748
957	0.9042468367
958	0.9039244521
959	0.9035190207
960	0.903214767
961	0.9028727433
962	0.902523859
963	0.9021826788
964	0.9018270554
965	0.9014538172
966	0.9010504651
967	0.9006669197
968	0.9002778011
969	0.8998938798
970	0.8995581447
971	0.899120368
972	0.8987173655
973	0.8983169101
974	0.8979509925
975	0.8975129133
976	0.8970999478
977	0.89676921
978	0.896471021
979	0.8961349913
980	0.8957790825
981	0.8953887049
982	0.8949862715
983	0.894664469
984	0.8943514133
985	0.8939702053
986	0.8936531854
987	0.8931913106
988	0.8928283162
989	0.8924442676
990	0.8920637256
991	0.8916525032
992	0.8913140969
993	0.8909296707
994	0.8906363055
995	0.8902998904
996	0.8899422464
997	0.8895878934
998	0.8891489664
999	0.888797085
